date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:15	3067/3067	---M--	200	added ('OK')	image/gif	etag:%221762074-bfb-449c5265f3000%22	http://kengodwinstudio.com/images/testimony.gif	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/testimony.gif	(from http://kengodwinstudio.com/)
14:48:16	9732/9732	---M--	200	added ('OK')	text/html	etag:%2210e0a9-2604-507115052dec0%22	http://kengodwinstudio.com/wedding.htm	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/wedding.html	(from http://kengodwinstudio.com/)
14:48:16	47126/47126	---M--	200	added ('OK')	image/jpeg	etag:%22177c008-b816-449c51be1a400%22	http://kengodwinstudio.com/images/home/full04.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/home/full04.jpg	(from http://kengodwinstudio.com/)
14:48:16	44181/44181	---M--	200	added ('OK')	image/jpeg	etag:%22177c009-ac95-449c51bf0e640%22	http://kengodwinstudio.com/images/home/full05.jpg	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/images/home/full05.jpg	(from http://kengodwinstudio.com/)
14:48:17	8213/8213	---M--	200	added ('OK')	text/html	etag:%2210e0a5-2015-5071150069380%22	http://kengodwinstudio.com/family.htm	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/family.html	(from http://kengodwinstudio.com/)
14:48:21	32422/32422	---M--	200	added ('OK')	image/png	etag:%22176a014-7ea6-4c1cca2b36e80%22	http://kengodwinstudio.com/navimages/weddings2.png	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/navimages/weddings2.png	(from http://kengodwinstudio.com/)
14:48:21	29861/29861	---M--	200	added ('OK')	image/png	etag:%22176a012-74a5-4c1bfd0edc3c0%22	http://kengodwinstudio.com/navimages/weddings1.png	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/navimages/weddings1.png	(from http://kengodwinstudio.com/)
14:48:22	8458/8458	---M--	200	added ('OK')	text/html	etag:%2210e0a7-210a-5071150345a40%22	http://kengodwinstudio.com/specialevents.htm	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/specialevents.html	(from http://kengodwinstudio.com/)
14:48:23	34075/34075	---M--	200	added ('OK')	image/png	etag:%22176a008-851b-4c1cca285a7c0%22	http://kengodwinstudio.com/navimages/family2.png	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/navimages/family2.png	(from http://kengodwinstudio.com/)
14:48:26	31006/31006	---M--	200	added ('OK')	image/png	etag:%22176a006-791e-4c1bfd082f400%22	http://kengodwinstudio.com/navimages/family1.png	C:/Users/Aaron/Desktop/ken%20godwin/kengodwinstudio.com/navimages/family1.png	(from http://kengodwinstudio.com/)
